time,gap
0,1.52173913043478
0.07,1.86475774202539
0.14,1.49192328144682
0.21,1.49112929920875
0.28,1.48934105917062
0.35,1.48861119865973
0.42,1.48780486328682
0.49,1.48629667879405
0.56,1.48554921604691
0.63,1.48474140493564
0.700000000000001,1.48346787791402
0.700000000000001,1.48388500227699
0.770000000000001,1.48271238027714
0.840000000000001,1.4819096035722
0.910000000000001,1.4810693610239
0.980000000000001,1.48007313504112
1.05,1.47927930791584
1.12,1.47845692372407
1.19,1.47760519948521
1.26,1.47682290541651
1.33,1.47601919468441
1.4,1.47519961300546
1.47,1.47451704999464
1.54,1.47373249121586
1.61,1.47293649853605
1.68,1.47234305860598
1.75,1.47157802980236
1.82,1.47080493212903
1.89,1.4702867064526
1.96,1.46954153968225
2.03,1.46879075112676
2.1,1.4680361231695
2.17,1.46761256393337
2.24,1.46688359384188
2.30999999999999,1.46615181861326
2.37999999999999,1.46578375617147
2.44999999999999,1.46507613705792
2.51999999999999,1.46436623376096
2.59999999999999,1.46400495909095
2.66999999999999,1.46332178685889
2.73999999999998,1.46263640638864
2.80999999999998,1.46194887582338
2.89999999999998,1.46163831359069
2.96999999999998,1.46097999859376
3.04,1.4603191915805
3.11,1.45965569199146
3.2,1.45943945843107
3.26999999999999,1.45880441135864
3.33999999999999,1.45816620240832
3.40999999999999,1.45752461228451
3.49999999999999,1.45740248515712
3.56999999999999,1.45678855777693
3.63999999999999,1.45617082674373
3.70999999999999,1.45554924252858
3.79999999999998,1.45552004540414
3.86999999999998,1.45492498702532
3.93999999999998,1.45432583680639
4.01,1.45372284732821
4.1,1.45378278001163
4.17,1.45320461187114
4.24,1.45262264433459
4.30999999999999,1.45203750522358
4.39999999999999,1.45217909482993
4.46999999999999,1.45161644490393
4.53999999999999,1.45105098449285
4.60999999999999,1.45048373413562
4.69999999999999,1.45069545409847
4.76999999999998,1.45014771594477
4.83999999999998,1.44959888132789
4.90999999999998,1.44905032803479
5,1.44931681073112
5.07,1.44878427707761
5.14,1.44825300443562
5.21,1.44772464479177
5.29999999999999,1.44802736413817
5.36999999999999,1.44751119634792
5.43999999999999,1.44699914006837
5.50999999999999,1.44649300125591
5.59999999999999,1.44681144920707
5.66999999999999,1.44631355712161
5.73999999999998,1.4458228957259
5.80999999999998,1.44534128511833
5.89999999999998,1.44565441892597
5.96999999999998,1.44517727058544
6.04,1.4447104824757
6.11,1.4442557387969
6.2,1.44454355250054
6.26999999999999,1.44408990935312
6.33999999999999,1.44364949901745
6.40999999999999,1.44322372382405
6.49999999999999,1.44346882514456
6.56999999999999,1.44304144520109
6.63999999999999,1.44262964387591
6.70999999999999,1.44223442289801
6.79999999999998,1.44242345396837
6.86999999999998,1.44202478281416
6.93999999999998,1.44164330612397
7.01,1.44127953290073
7.1,1.44140423715371
7.17,1.44103613567618
7.24,1.44068594869833
7.30999999999999,1.44035364644381
7.39999999999999,1.44041152893175
7.46999999999999,1.44007501827359
7.53999999999999,1.43975616781769
7.60999999999999,1.43945440622941
7.69999999999999,1.43944883832181
7.76999999999998,1.43914391694313
7.83999999999998,1.43885541780753
7.90999999999998,1.43858227549962
8,1.43852210367334
8.07,1.43824764146058
8.14,1.43798747278082
8.21,1.43774012437903
8.29999999999999,1.43763878749998
8.36999999999999,1.43739252175599
8.43999999999999,1.43715768510688
8.50999999999999,1.43693252327448
8.59999999999999,1.43680680554967
8.66999999999999,1.4365854410616
8.73999999999998,1.43637214742135
8.80999999999998,1.4361650372409
8.89999999999998,1.43603353135172
8.96999999999998,1.43583299018847
9.04,1.43563694472848
9.11,1.43544353702242
9.2,1.43532502267227
9.26999999999999,1.43514074870108
9.33999999999999,1.43495747829911
9.40999999999999,1.43477354119717
9.49999999999999,1.43468530287518
9.56999999999999,1.43451262038453
9.63999999999999,1.43433782458172
9.70999999999999,1.4341595753756
9.79999999999998,1.4341159078198
9.86999999999998,1.4339503894681
9.93999999999998,1.43378027590501
10.01,1.43360466823079
10.1,1.43361560994154
10.17,1.43345340393156
10.24,1.43328495174241
10.31,1.43310986790582
10.4,1.43318031034419
10.47,1.43301841841026
10.54,1.43284958168988
10.61,1.43267395477935
10.7,1.43280320432307
10.77,1.43263966291711
10.84,1.43246947170927
10.91,1.43229330465818
11,1.43247514828079
11.07,1.43230915017322
11.14,1.43213773906497
11.21,1.43196204203012
11.3,1.43218528538239
11.37,1.43201716414134
11.44,1.43184568967578
11.51,1.43167233276006
11.6,1.43192179904608
11.67,1.43175299296689
11.74,1.43158349949296
11.81,1.431415000298
11.9,1.43167291767598
11.97,1.4315057486663
12.04,1.43134093140966
12.11,1.43118020094173
12.2,1.43142778956557
12.27,1.43126527730542
12.34,1.43110823233564
12.41,1.43095828216003
12.5,1.43117744438879
12.57,1.43102295824651
12.64,1.43087684304101
12.71,1.43074046904222
12.8,1.43091545783081
12.87,1.43077241094407
12.94,1.43064015131222
13.01,1.43051966423565
13.1,1.43063849957633
13.17,1.4305099877577
13.24,1.43039396692029
13.31,1.43029094166779
13.4,1.43034649700775
13.47,1.43023499203961
13.54,1.43013679067067
13.61,1.4300518673854
13.7,1.43004251388386
13.77,1.42994957510239
13.84,1.4298697702051
13.91,1.42980253998638
14,1.42973225720527
14.07,1.42965830507082
14.14,1.42959633665275
14.21,1.4295453055304
14.3,1.42942333472521
14.37,1.42936760178185
14.44,1.42932180087215
14.51,1.42928448478829
14.6,1.42912442576745
14.67,1.42908491761213
14.74,1.42905256465316
14.81,1.42902564571343
14.9,1.42884430726506
14.97,1.42881799309735
15.04,1.4287955725564
15.11,1.42877520085255
15.2,1.4285910963285
15.27,1.42857416499712
15.34,1.42855767159507
15.41,1.42853980735871
15.5,1.42837153514603
15.57,1.42835974673
15.64,1.4283450405675
15.71,1.42832580616272
15.8,1.42819045129371
15.87,1.42817949483442
15.94,1.42816267057285
16.01,1.42813870618626
16.1,1.4280503222171
16.17,1.42803620960045
16.24,1.42801393424031
16.3100000000001,1.42798267422378
16.4000000000001,1.42795105520223
16.4700000000001,1.42793044983673
16.5400000000001,1.42790023925195
16.6100000000001,1.42786011926549
16.7000000000001,1.42788989111893
16.7700000000001,1.42786034518575
